classes,features,classifier,estimator,classes,acc,f1
'CN_MCI',200,'GradientBoosting',50,'CN_MCI',0.660486431,0.640508763
'CN_MCI',800,'GradientBoosting',300,'CN_MCI',0.660271377,0.641272153
'CN_MCI',200,'GradientBoosting',300,'CN_MCI',0.659554531,0.649346757
'CN_MCI',800,'GradientBoosting',500,'CN_MCI',0.658018433,0.640349238
'CN_MCI',1000,'GradientBoosting',50,'CN_MCI',0.655683564,0.626620722
'CN_MCI',600,'GradientBoosting',50,'CN_MCI',0.654331797,0.62249746
'CN_MCI',1000,'GradientBoosting',500,'CN_MCI',0.642636969,0.624850105
'CN_MCI',200,'RandomForest',500,'CN_MCI',0.641827957,0.606511359
'CN_MCI',200,'RandomForest',50,'CN_MCI',0.641802355,0.612295934
'CN_MCI',1000,'GradientBoosting',700,'CN_MCI',0.641126472,0.625537387
'CN_MCI',200,'RandomForest',700,'CN_MCI',0.638643113,0.601633365
'CN_MCI',200,'RandomForest',300,'CN_MCI',0.638617512,0.601157225
'CN_MCI',200,'RandomForest',1000,'CN_MCI',0.638310292,0.600722721
'CN_MCI',1000,'GradientBoosting',1000,'CN_MCI',0.637557604,0.622060458
'CN_MCI',200,'RandomForest',100,'CN_MCI',0.635750128,0.602489824
'CN_MCI',400,'RandomForest',50,'CN_MCI',0.631684588,0.598117737
'CN_MCI',800,'RandomForest',50,'CN_MCI',0.631054788,0.595080351
'CN_MCI',400,'RandomForest',300,'CN_MCI',0.630762929,0.589109716
'CN_MCI',400,'RandomForest',100,'CN_MCI',0.629462366,0.592871452
'CN_MCI',400,'RandomForest',500,'CN_MCI',0.628847926,0.586796057
'CN_MCI',400,'RandomForest',1000,'CN_MCI',0.626610343,0.584594255
'CN_MCI',1000,'RandomForest',50,'CN_MCI',0.626605223,0.59099449
'CN_MCI',800,'RandomForest',500,'CN_MCI',0.625980543,0.575752832
'CN_MCI',800,'RandomForest',100,'CN_MCI',0.625673323,0.582677449
'CN_MCI',800,'RandomForest',300,'CN_MCI',0.62281106,0.572759372
'CN_MCI',800,'RandomForest',700,'CN_MCI',0.621525858,0.566670832
'CN_MCI',600,'RandomForest',50,'CN_MCI',0.621203277,0.585063485
'CN_MCI',1000,'RandomForest',100,'CN_MCI',0.620542755,0.57399725
'CN_MCI',600,'RandomForest',300,'CN_MCI',0.620286738,0.570370341
'CN_MCI',400,'RandomForest',700,'CN_MCI',0.620271377,0.577422428
'CN_MCI',600,'RandomForest',700,'CN_MCI',0.619318996,0.571073584
