,features,importance
139,11763538_x_at_PRR5,0.06890732049942017
188,11730252_s_at_AHCTF1,0.05869107320904732
142,11723027_at_ITLN1,0.05682971701025963
128,11730765_at_CD177,0.05080019310116768
67,11742943_a_at_CKM,0.04523785039782524
174,11762503_at_11762535_at,0.044681888073682785
48,11751137_x_at_DPF1,0.0446147620677948
97,11722182_a_at_ATP6V1C1,0.03585045039653778
19,11737438_a_at_BMF,0.03391093388199806
62,11718429_at_EMD,0.03195750340819359
10,11760223_at_nan,0.031233878806233406
84,11740468_x_at_MAGIX,0.029046015813946724
167,AGE,0.028338521718978882
45,11731901_a_at_SESN3,0.02691458724439144
26,11726316_at_SELE,0.024504898115992546
47,11716907_s_at_PITHD1,0.02414984256029129
57,11742593_at_OR14C36,0.023489974439144135
40,11724283_a_at_ANXA3,0.023063408210873604
41,11719884_s_at_KAZN,0.022587331011891365
152,11763312_at_MXD4,0.022024983540177345
53,11747852_s_at_ISLR,0.02146281860768795
138,11746268_a_at_ZNF630,0.021424630656838417
16,11761447_at_nan,0.02116546593606472
121,11746336_a_at_CNOT8,0.015882140025496483
189,11717049_s_at_DES,0.015714554116129875
117,11758698_x_at_HBG1,0.015311072580516338
55,11757581_x_at_MT1X,0.013766118325293064
151,11748101_a_at_RUNX1T1,0.013506472110748291
147,AFFX-r2-Bs-dap-M_at_AFFX-r2-TagO-3_at,0.012155207805335522
71,11720732_a_at_SUMF1,0.011644196696579456
31,11745718_s_at_LOC100093631 || GTF2I || GTF2IP1,0.01075319480150938
38,11728845_a_at_NCOA1,0.010548770427703857
169,11720387_a_at_MRC2,0.00910197664052248
196,11743803_s_at_SEPHS2,0.008685666136443615
201,11738864_a_at_ABHD12B,0.008389350958168507
32,11750705_a_at_OSBP2,0.007644453551620245
110,11717311_s_at_FBXO7,0.0073775178752839565
143,11739253_x_at_SLC35E1,0.0071146064437925816
54,11756127_a_at_PGM1,0.00688417861238122
93,11750143_a_at_PIGZ,0.006160154473036528
1,11741507_a_at_SMOX,0.0061417981050908566
96,11726810_s_at_C19ORF77,0.005849994253367186
7,11761978_at_ARHGEF12,0.005638566333800554
112,11749608_a_at_RNF11,0.003980572801083326
181,11731447_x_at_SNCA,0.0028389692306518555
122,11727701_a_at_FAM185A,0.0024310059379786253
177,11726385_a_at_MT1X,0.0015913854585960507
132,AFFX-PheX-3_at_AFFX-r2-TagB_at,0.0
136,AFFX-DapX-M_at_AFFX-Nonspecific-GC15_at,0.0
133,11741344_x_at_DMTN,0.0
134,AFFX-r2-Bs-phe-M_at_nan,0.0
135,11747106_a_at_RREB1,0.0
175,11720529_at_JAZF1,0.0
137,11759404_at_TSPAN5,0.0
195,AFFX-r2-Bs-lys-3_at_AFFX-r2-TagO-5_at,0.0
194,11731041_a_at_FBXO24,0.0
140,11743606_a_at_ACSL3,0.0
141,11721675_x_at_GLRX5,0.0
193,11721931_s_at_TMCC2,0.0
131,11759606_at_nan,0.0
198,11720311_a_at_XRCC5,0.0
130,11726539_a_at_OSBPL9,0.0
129,11758696_x_at_HBG1 || HBG2,0.0
197,11718871_x_at_PALMD,0.0
145,11754743_a_at_CWC22,0.0
127,11724079_s_at_E2F2,0.0
126,11724527_x_at_FAHD1,0.0
125,11722640_s_at_SSBP3,0.0
124,11747185_x_at_ANK1,0.0
123,11718224_s_at_GSPT1,0.0
199,11716261_a_at_AP2B1,0.0
120,11750580_x_at_ARHGEF12,0.0
119,11725937_a_at_LGALS3,0.0
118,11728079_a_at_TBC1D22B,0.0
200,EDU,0.0
144,11750558_s_at_ZNF271,0.0
148,11745272_a_at_ATP6V1C1,0.0
146,11755537_s_at_HBG2,0.0
115,11739400_s_at_FBXO7,0.0
184,11741967_a_at_CDYL,0.0
183,11730832_at_RANBP10,0.0
163,11733837_a_at_VTI1B,0.0
164,11719477_a_at_FASTKD5,0.0
165,11739781_a_at_TGM2,0.0
166,11731415_a_at_PSMD6,0.0
182,11731064_a_at_SMOX,0.0
180,11741508_x_at_SMOX,0.0
179,AFFX-r2-Bs-thr-5_s_at_nan,0.0
168,11758611_s_at_TRIM10,0.0
178,11721674_s_at_GLRX5,0.0
170,11746510_x_at_PSMD6,0.0
171,AFFX-r2-Bs-phe-5_at_nan,0.0
176,11757979_x_at_DEGS1,0.0
172,11734451_at_SULT1B1,0.0
162,11721863_a_at_SLC37A3,0.0
161,11753730_a_at_SNCA,0.0
192,AFFX-DapX-5_at_AFFX-Nonspecific-GC14_at,0.0
160,11717200_a_at_DPM2,0.0
173,11716401_a_at_SELENBP1,0.0
149,11717404_x_at_TDP2,0.0
150,11739339_s_at_FAM46C,0.0
191,11740375_a_at_RGS10,0.0
190,11739520_a_at_CHID1,0.0
187,11724751_at_MRTO4,0.0
153,11716563_s_at_AIMP2,0.0
186,11718038_s_at_DCAF12,0.0
154,11716740_a_at_SLC6A8,0.0
155,11757938_s_at_NMI,0.0
156,11722092_x_at_PRR5,0.0
157,11739205_a_at_TTL,0.0
185,11754090_a_at_SNCA,0.0
158,11744978_a_at_ORC4,0.0
159,11754381_a_at_TMOD1,0.0
116,11715594_a_at_RBM38,0.0
0,11747640_a_at_TDP2,0.0
114,11757850_s_at_PA2G4,0.0
42,11754363_s_at_CARM1,0.0
29,11737280_at_IFIT1B,0.0
30,11724061_s_at_OSBPL1A,0.0
33,11716557_a_at_TNS1,0.0
34,11755356_x_at_PSMF1,0.0
35,11727133_at_CPD,0.0
36,11746727_s_at_FBXO38,0.0
37,11716741_x_at_SLC6A8,0.0
39,11740071_x_at_PSMF1,0.0
43,11718992_a_at_FKBP2,0.0
27,11750499_s_at_ZNF705E || ZNF705B || ZNF705A || ZNF705D,0.0
44,AFFX-PheX-5_at_AFFX-r2-TagC_at,0.0
46,11743153_at_C16ORF72,0.0
49,11740599_at_GPR20,0.0
50,11722970_a_at_CREB5,0.0
51,11746441_a_at_TGFBR1,0.0
52,11731997_at_TRIM58,0.0
56,11741528_a_at_ACP1,0.0
58,11745937_a_at_TCF3,0.0
28,11753731_x_at_SNCA,0.0
25,11742218_x_at_SLC13A5,0.0
60,11720202_at_GMPR,0.0
12,11750601_a_at_ZC3H12D,0.0
2,AFFX-r2-Bs-dap-5_at_AFFX-r2-TagJ-5_at,0.0
3,11746222_a_at_TTBK2,0.0
4,11729633_x_at_YBX3,0.0
5,11743992_at_UBE2O,0.0
6,11722181_a_at_ATP6V1C1,0.0
8,11759592_at_PCGF5,0.0
9,11740116_s_at_SSBP3,0.0
11,11751760_s_at_LSM12,0.0
13,11746494_x_at_PIP4K2A,0.0
24,11719827_a_at_QPCT,0.0
14,11717258_a_at_PIM1,0.0
15,11752515_a_at_ODC1,0.0
17,11717000_s_at_GUCD1,0.0
18,AFFX-r2-Bs-lys-M_at_AFFX-r2-TagQ-5_at,0.0
20,11739179_s_at_ST6GALNAC4,0.0
21,AFFX-ThrX-M_at_AFFX-r2-TagG_at,0.0
22,11756353_a_at_CLVS1,0.0
23,AFFX-PheX-M_at_AFFX-r2-TagD_at,0.0
59,11732126_x_at_UBB,0.0
61,11750256_a_at_RSF1,0.0
113,11742801_a_at_MAP2K3,0.0
100,11744862_x_at_DHRS7,0.0
89,11753175_a_at_ADIPOR1,0.0
90,11731996_at_TRIM58,0.0
91,11754151_a_at_STXBP5,0.0
92,11716556_a_at_TNS1,0.0
94,11755705_a_at_SMIM5,0.0
95,11719828_x_at_QPCT,0.0
98,11739347_a_at_PIP4K2A,0.0
99,11715517_s_at_SLC25A39,0.0
102,AFFX-r2-Bs-thr-M_s_at_nan,0.0
87,11721864_s_at_SLC37A3,0.0
103,11739957_a_at_BCL2L1,0.0
104,11716983_at_CDC34,0.0
105,11726219_x_at_DMTN,0.0
106,11734736_a_at_FAR1,0.0
107,11730498_s_at_MXI1,0.0
108,11746350_a_at_PIM1,0.0
109,AFFX-ThrX-5_at_AFFX-r2-TagF_at,0.0
111,11739782_a_at_SNCA,0.0
88,11725953_a_at_RNF10,0.0
86,11732501_a_at_TMOD1,0.0
63,11718223_a_at_GSPT1,0.0
74,11743648_a_at_DCAF6,0.0
64,AFFX-r2-Bs-phe-3_at_nan,0.0
65,AFFX-DapX-3_at_AFFX-Nonspecific-GC13_at,0.0
66,11744861_a_at_DHRS7,0.0
68,11716866_x_at_SLC1A5,0.0
69,11756718_a_at_PRR5,0.0
70,11754382_a_at_SMIM5,0.0
72,11720955_x_at_CWC22,0.0
73,11718852_a_at_SRPK1,0.0
75,11725954_x_at_RNF10,0.0
85,11738176_at_NKX3-2,0.0
76,11759514_at_nan,0.0
77,11724319_x_at_DMTN,0.0
78,11736205_a_at_OSBP2,0.0
79,11753445_a_at_HMOX1,0.0
80,AFFX-LysX-M_at_AFFX-ThrX-M_at,0.0
81,11721673_at_GLRX5,0.0
82,11739338_at_FAM46C,0.0
83,11752736_x_at_CHID1,0.0
101,11739958_x_at_BCL2L1,0.0
